value,type,log_date,tz
369449,DAU,2019-5-13,0
343365,DAU,2019-5-14,0
342057,DAU,2019-5-15,0
340746,DAU,2019-5-16,0
348190,DAU,2019-5-17,0
358004,DAU,2019-5-18,0
361221,DAU,2019-5-19,0
350352,DAU,2019-5-20,0
354066,DAU,2019-5-21,0
352063,DAU,2019-5-22,0
347255,DAU,2019-5-23,0
341414,DAU,2019-5-24,0
348839,DAU,2019-5-25,0
352155,DAU,2019-5-26,0
372278,DAU,2019-5-27,0
365349,DAU,2019-5-28,0
369970,DAU,2019-5-29,0
335484,DAU,2019-5-30,0
354222,DAU,2019-5-31,0
372889,DAU,2019-6-1,0
371093,DAU,2019-6-2,0
358419,DAU,2019-6-3,0
347536,DAU,2019-6-4,0
347753,DAU,2019-6-5,0
357928,DAU,2019-6-6,0
381662,DAU,2019-6-7,0
368893,DAU,2019-6-8,0
370085,DAU,2019-6-9,0
366900,DAU,2019-6-10,0
359736,DAU,2019-6-11,0
